7zip 25.01-1
xxhash 0.8.3-1
xz 5.8.1-1
yyjson 0.12.0-1
zenity 4.2.0-1
zeromq 4.3.5-2
zfs-dkms 2.3.4-1
zfs-utils 2.3.4-1
zimg 3.0.5-1
zix 0.6.2-1
zlib 1:1.3.1-2
zlib-ng 2.2.5-1
zstd 1.5.7-2
zxing-cpp 2.3.0-5
